fecha,p_mensual,estacion
1985-12-01,18.5,lp_aero
1986-01-01,121.2,lp_aero
1986-02-01,17.0,lp_aero
1986-03-01,68.0,lp_aero
1986-04-01,138.2,lp_aero
1986-05-01,91.9,lp_aero
1986-06-01,57.3,lp_aero
1986-07-01,45.2,lp_aero
1986-08-01,121.0,lp_aero
1986-09-01,59.6,lp_aero
1986-10-01,124.8,lp_aero
1986-11-01,160.5,lp_aero
1986-12-01,53.8,lp_aero
1987-01-01,74.6,lp_aero
1987-02-01,125.9,lp_aero
1987-03-01,205.0,lp_aero
1987-04-01,54.8,lp_aero
1987-05-01,23.2,lp_aero
1987-06-01,0.7,lp_aero
1987-07-01,67.7,lp_aero
1987-08-01,54.4,lp_aero
1987-09-01,44.7,lp_aero
1987-10-01,167.0,lp_aero
1987-11-01,104.0,lp_aero
1987-12-01,139.8,lp_aero
1988-01-01,135.9,lp_aero
1988-02-01,31.6,lp_aero
1988-03-01,299.8,lp_aero
1988-04-01,65.7,lp_aero
1988-05-01,2.5,lp_aero
1988-06-01,9.0,lp_aero
1988-07-01,32.8,lp_aero
1988-08-01,31.400002,lp_aero
1988-09-01,27.0,lp_aero
1988-10-01,111.3,lp_aero
1988-11-01,64.1,lp_aero
1988-12-01,127.6,lp_aero
1989-01-01,19.2,lp_aero
1989-02-01,47.0,lp_aero
1989-03-01,144.7,lp_aero
1989-04-01,100.4,lp_aero
1989-05-01,0.0,lp_aero
1989-06-01,34.7,lp_aero
1989-07-01,52.4,lp_aero
1989-08-01,170.2,lp_aero
1989-09-01,17.1,lp_aero
1989-10-01,29.0,lp_aero
1989-11-01,47.6,lp_aero
1989-12-01,194.2,lp_aero
1990-01-01,259.5,lp_aero
1990-02-01,253.2,lp_aero
1990-03-01,108.2,lp_aero
1990-04-01,132.5,lp_aero
1990-05-01,72.5,lp_aero
1990-06-01,7.7,lp_aero
1990-07-01,14.4,lp_aero
1990-08-01,31.0,lp_aero
1990-09-01,43.0,lp_aero
1990-10-01,103.1,lp_aero
1990-11-01,336.4,lp_aero
1990-12-01,175.1,lp_aero
1991-01-01,128.6,lp_aero
1991-02-01,18.1,lp_aero
1991-03-01,13.8,lp_aero
1991-04-01,67.1,lp_aero
1991-05-01,95.0,lp_aero
1991-06-01,128.6,lp_aero
1991-07-01,97.0,lp_aero
1991-08-01,58.1,lp_aero
1991-09-01,92.2,lp_aero
1991-10-01,138.5,lp_aero
1991-11-01,73.8,lp_aero
1991-12-01,117.9,lp_aero
1992-01-01,209.5,lp_aero
1992-02-01,23.8,lp_aero
1992-03-01,137.1,lp_aero
1992-04-01,102.5,lp_aero
1992-05-01,115.6,lp_aero
1992-06-01,107.8,lp_aero
1992-07-01,47.0,lp_aero
1992-08-01,103.5,lp_aero
1992-09-01,56.4,lp_aero
1992-10-01,139.9,lp_aero
1992-11-01,90.5,lp_aero
1992-12-01,44.0,lp_aero
1993-01-01,71.5,lp_aero
1993-02-01,232.7,lp_aero
1993-03-01,43.9,lp_aero
1993-04-01,150.4,lp_aero
1993-05-01,103.8,lp_aero
1993-06-01,126.0,lp_aero
1993-07-01,24.5,lp_aero
1993-08-01,21.0,lp_aero
1993-09-01,46.1,lp_aero
1993-10-01,179.8,lp_aero
1993-11-01,220.1,lp_aero
1993-12-01,169.5,lp_aero
1994-01-01,52.0,lp_aero
1994-02-01,29.8,lp_aero
1994-03-01,119.7,lp_aero
1994-04-01,137.5,lp_aero
1994-05-01,131.4,lp_aero
1994-06-01,46.0,lp_aero
1994-07-01,114.1,lp_aero
1994-08-01,26.5,lp_aero
1994-09-01,15.5,lp_aero
1994-10-01,108.9,lp_aero
1994-11-01,34.5,lp_aero
1994-12-01,134.0,lp_aero
1995-01-01,86.0,lp_aero
1995-02-01,171.0,lp_aero
1995-03-01,133.8,lp_aero
1995-04-01,221.7,lp_aero
1995-05-01,10.3,lp_aero
1995-06-01,25.9,lp_aero
1995-07-01,34.8,lp_aero
1995-08-01,15.5,lp_aero
1995-09-01,40.0,lp_aero
1995-10-01,79.0,lp_aero
1995-11-01,117.8,lp_aero
1995-12-01,31.0,lp_aero
1996-01-01,113.0,lp_aero
1996-02-01,150.0,lp_aero
1996-03-01,51.5,lp_aero
1996-04-01,97.0,lp_aero
1996-05-01,31.5,lp_aero
1996-06-01,17.0,lp_aero
1996-07-01,50.0,lp_aero
1996-08-01,35.0,lp_aero
1996-09-01,132.7,lp_aero
1996-10-01,72.8,lp_aero
1996-11-01,110.3,lp_aero
1996-12-01,112.5,lp_aero
1997-01-01,114.0,lp_aero
1997-02-01,92.0,lp_aero
1997-03-01,55.7,lp_aero
1997-04-01,63.0,lp_aero
1997-05-01,34.0,lp_aero
1997-06-01,70.0,lp_aero
1997-07-01,61.2,lp_aero
1997-08-01,104.6,lp_aero
1997-09-01,4.0,lp_aero
1997-10-01,82.2,lp_aero
1997-11-01,147.0,lp_aero
1997-12-01,193.0,lp_aero
1998-01-01,168.5,lp_aero
1998-02-01,55.7,lp_aero
1998-03-01,149.0,lp_aero
1998-04-01,121.9,lp_aero
1998-05-01,66.2,lp_aero
1998-06-01,17.0,lp_aero
1998-07-01,88.0,lp_aero
1998-08-01,7.1,lp_aero
1998-09-01,61.0,lp_aero
1998-10-01,69.0,lp_aero
1998-11-01,65.2,lp_aero
1998-12-01,117.0,lp_aero
1999-01-01,99.4,lp_aero
1999-02-01,168.5,lp_aero
1999-03-01,144.0,lp_aero
1999-04-01,40.0,lp_aero
1999-05-01,32.0,lp_aero
1999-06-01,22.1,lp_aero
1999-07-01,113.0,lp_aero
1999-08-01,95.5,lp_aero
1999-09-01,82.1,lp_aero
1999-10-01,15.6,lp_aero
1999-11-01,90.0,lp_aero
1999-12-01,58.5,lp_aero
2000-01-01,80.0,lp_aero
2000-02-01,88.8,lp_aero
2000-03-01,35.7,lp_aero
2000-04-01,129.7,lp_aero
2000-05-01,288.8,lp_aero
2000-06-01,114.0,lp_aero
2000-07-01,52.0,lp_aero
2000-08-01,108.100006,lp_aero
2000-09-01,91.4,lp_aero
2000-10-01,165.6,lp_aero
2000-11-01,94.0,lp_aero
2000-12-01,94.0,lp_aero
2001-01-01,132.1,lp_aero
2001-02-01,112.0,lp_aero
2001-03-01,220.3,lp_aero
2001-04-01,24.0,lp_aero
2001-05-01,59.6,lp_aero
2001-06-01,73.1,lp_aero
2001-07-01,64.0,lp_aero
2001-08-01,191.4,lp_aero
2001-09-01,45.8,lp_aero
2001-10-01,176.1,lp_aero
2001-11-01,116.9,lp_aero
2001-12-01,101.0,lp_aero
2002-01-01,259.9,lp_aero
2002-02-01,80.0,lp_aero
2002-03-01,358.1,lp_aero
2002-04-01,126.0,lp_aero
2002-05-01,140.2,lp_aero
2002-06-01,33.3,lp_aero
2002-07-01,94.0,lp_aero
2002-08-01,77.0,lp_aero
2002-09-01,91.5,lp_aero
2002-10-01,54.1,lp_aero
2002-11-01,98.9,lp_aero
2002-12-01,82.8,lp_aero
2003-01-01,44.3,lp_aero
2003-02-01,173.5,lp_aero
2003-03-01,65.5,lp_aero
2003-04-01,46.0,lp_aero
2003-05-01,58.5,lp_aero
2003-06-01,54.7,lp_aero
